cod,desc,cant,estante,nivel,costo_unitario
5139ROJO,Caja muñeca grande rojo,10,,,
5139ROSA,CAJA MUÑECA GRANDE ROSA,3,,,
5139VC,CAJA MUÑECA GRANDE VERDE CLARO,39,,,
5139VF,Caja muñeca grande verde fuerte,14,,,
5139VL,Caja muñeca grande verde limon,15,,,
5140AC,CAJA MUÑECA CHICA COLOR MED.7X5.5X3,25,,,
5140AM,Caja muñeca chica amarillo,78,,,
5140AR,Caja muñeca chica azul rey,1,,,
5140BCA,Caja muñeca chica blanca,27,,,
5140CH,Caja muñeca chica color chocolate,50,,,
5140L,Caja muñeca chica lila,5,,,
5140N,Caja muñeca chica naranja, -   ,,,
5140R,Caja muñeca chica roja,39,,,
5140RF,Caja muñeca chica rosa fiusha,50,,,
5140VC,CAJA MUÑECA CHICA VERDE CLARO,9,,,
5140VF,Caja muñeca chica verde fuerte,43,,,
5141AM,Caja muñeca mediana amarilla,26,,,
5141AR,Caja muñeca mediana azul rey, -   ,,,
5141CH,Caja muñeca mediana chocolate, -   ,,,
5141L,Caja muñeca mediana lila,25,,,
5141N,Caja muñeca mediana naranja,21,,,
5141ROJA,Caja muñeca mediana roja,49,,,
5141RF,Caja muñeca mediana rosa fiusha,1,,,
5141VF,Caja muñeca mediana verde fuerte ,3,,,
5141VL,Caja muñeca mediana verde limon, -   ,,,
5142,Caja camioncito,15,,,
5143AC,Caja muñeca mini azul claro, -   ,,,
5143AM,Caja muñeca mini amarilla,12,,,
5143AR,Caja muñeca mini azul rey,34,,,
5143BCA,Caja muñeca mini blanca,15,,,
5143CH,Caja muñeca mini color chocolate,63,,,
5143L,Caja muñeca mini lila,12,,,
5143N,Caja muñeca mini naranja,50,,,
5143NGO,CAJA MUÑECA MINI NEGRA,99,,,
5143ROJA,Caja muñeca mini roja,18,,,
5143RF,Caja muñeca mini rosa fiusha,38,,,
5143VC,Caja muñeca mini verde claro,63,,,
5143VF,Caja muñeca mini verde fuerte,28,,,
5144M,Alcancia murcielago,44,,,
5144P,Alcancia puerquito medida 10x10x13,49,,,
