cod,desc,cant,estante,nivel,costo_unitario
6047,cubo corrugado decorado 30x30x30,,,,
6049,corazón  pintado chico 13x8.5x11,,,,
6050,corazón  pintado mediano 29x21x21,,,,
6051,corazón  pintado grande 35x25x26,,,,
6081,cilindro de acetato mediano  26x32,,,,
6086,cilindro de acetato jumbo 40x56,,,,
6087,cilindro de acetato grande 30x36,,,,
6088,cilindro de acetato p/corona 16x6.5,,,,
6089,cilindro bolo de acetato 11.5x10,,,,
6090,cilindro mini corrugado  16x20,,,,
6091,cilindro chico corrugado  21x24,,,,
6092,cilindro mediano corrugado     26x32,,,,
6093,cilindro grande corrugado  30x36,,,,
6094,cilindro jumbo corrugado  40x50,,,,
6095,cilindro petit micro  11.5x16,,,,
6096,cilindro de acetato mini  16x20,,,,
6097,cilindro joyero acetato 7.8x6.5,,,,
6098,cilindro petit acetato 11.5x16,,,,
6102,cilindro joyero micro 7.8x6.5,,,,
