sat_key,former_code,unique_code,description,pieces_per_package,number_of_pieces,accesories_kit,supplier,exterior_color_or_design,product_type,line,classification,main_material,resistance_main_material,design_type,impression,warehouse,rack,level,wholesale,retail,sat_unit_key,wholesale_unit,only_measure,outer_length,inner_length,price,child,parent,factor,average,stores_discount,retails_discount,discount_when_armed
14121500,1906,1906FL,Ecoburo combo 3 cajones flores lila,1,6,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,44 ECT,Cajonera,,Corrugado,,,,,H87,,38 x 34 x 49,,,183.62,,,,,35,35,
14121500,1906,1906FM,Ecoburo combo 3 cajones flores moradas,1,6,,Comercializadora de Cartón y Diseño,Flores Moradas,,hogar,de línea,Corrugado,44 ECT,Cajonera,,Corrugado,,,,,H87,,38 x 34 x 49,,,183.62,,,,,35,35,
14121500,1906,1906R,Ecoburo combo 3 cajones rayas,1,6,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,44 ECT,Cajonera,,Corrugado,,,,,H87,,38 x 34 x 49,,,183.62,,,,,35,35,
14121500,2001,2001A,Correcajon mediano azul,1,2,,Comercializadora de Cartón y Diseño,Azul,,hogar,de línea,Corrugado,44 ECT,Maestra/cajón,,Corrugado,,,,,H87,,15 x 19 x 10.7,,,34.91,,,,,35,35,
14121500,2001,2001R,Correcajon mediano rojo,1,2,,Comercializadora de Cartón y Diseño,Rojo,,hogar,de línea,Corrugado,44 ECT,Maestra/cajón,,Corrugado,,,,,H87,,15 x 19 x 10.7,,,34.91,,,,,35,35,
14121500,2001,2001V,Correcajon mediano verde,1,2,,Comercializadora de Cartón y Diseño,Verde,,hogar,de línea,Corrugado,44 ECT,Maestra/cajón,,Corrugado,,,,,H87,,15 x 19 x 10.7,,,34.91,,,,,35,35,
14121500,2002,2002,Concentra 4 cajon mediano,1,1,,Comercializadora de Cartón y Diseño,Kraft,,hogar,de línea,Corrugado,44 ECT,Maestra concentra,,Corrugado,,,,,H87,,32 x 19.5 x 22,,,33.62,,,,,35,35,
14121500,2003,2003A,Correcajon grande azul,1,2,,Comercializadora de Cartón y Diseño,Azul,,hogar,de línea,Corrugado,44 ECT,Maestra/cajón,,Corrugado,,,,,H87,,23 x 23 x 15.5,,,58.62,,,,,35,35,
14121500,2003,2003R,Correcajon grande rojo,1,2,,Comercializadora de Cartón y Diseño,Rojo,,hogar,de línea,Corrugado,44 ECT,Maestra/cajón,,Corrugado,,,,,H87,,23 x 23 x 15.5,,,58.62,,,,,35,35,
14121500,2003,2003V,Correcajon grande verde,1,2,,Comercializadora de Cartón y Diseño,Verde,,hogar,de línea,Corrugado,44 ECT,Maestra/cajón,,Corrugado,,,,,H87,,23 x 23 x 15.5,,,58.62,,,,,35,35,
14121500,2005,2005,Concentra 2 correcajon grande,1,1,,Comercializadora de Cartón y Diseño,Kraft,,hogar,de línea,Corrugado,44 ECT,Maestra concentra,,Corrugado,,,,,H87,,24 x 24.5 x 32.5,,,41.38,,,,,35,35,
14121500,2006,2006,Correcajon chico,1,2,,Comercializadora de Cartón y Diseño,Azul,,hogar,de línea,Corrugado,44 ECT,Maestra/cajón,,Corrugado,,,,,H87,,12.7 x 19.2 x 8.4,,,20.69,,,,,35,35,
14121500,2007,2007,Concentra correcajon chico,1,1,,Comercializadora de Cartón y Diseño,Kraft,,hogar,de línea,Corrugado,44 ECT,Maestra concentra,,Corrugado,,,,,H87,,27 x 20 x 9,,,19.83,,,,,35,35,
14121500,2008,2008,Concentra cd,1,1,,Comercializadora de Cartón y Diseño,Kraft,,hogar,de línea,Corrugado,44 ECT,Maestra concentra,,Corrugado,,,,,H87,,30.4 x 26 x 17,,,31.47,,,,,35,35,
14121500,2010,2010A,Corre cd azul,1,2,,Comercializadora de Cartón y Diseño,Azul,,hogar,de línea,Corrugado,44 ECT,Maestra/cajón,,Corrugado,,,,,H87,,14.7 x 24.5 x 15.5,,,52.59,,,,,35,35,
14121500,2010,2010R,Corre cd rojo,1,2,,Comercializadora de Cartón y Diseño,Rojo,,hogar,de línea,Corrugado,44 ECT,Maestra/cajón,,Corrugado,,,,,H87,,14.7 x 24.5 x 15.5,,,52.59,,,,,35,35,
14121500,2010,2010V,Corre cd verde,1,2,,Comercializadora de Cartón y Diseño,Verde,,hogar,de línea,Corrugado,44 ECT,Maestra/cajón,,Corrugado,,,,,H87,,14.7 x 24.5 x 15.5,,,52.59,,,,,35,35,
14121500,2302,2302AM,Cofre chico amarillo,1,1,,Comercializadora de Cartón y Diseño,Amarillo,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,18 x 12 x 8.5,,,109.91,,,,,35,35,
14121500,2302,2302AZ,Cofre chico azul,1,1,,Comercializadora de Cartón y Diseño,Azul,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,18 x 12 x 8.5,,,109.91,,,,,35,35,
14121500,2302,2302AZM,Cofre chico azul marino,1,1,,Comercializadora de Cartón y Diseño,Azul Marino,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,18 x 12 x 8.5,,,109.91,,,,,35,35,
14121500,2302,2302F,Cofre chico fiusha,1,1,,Comercializadora de Cartón y Diseño,Fiusha,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,18 x 12 x 8.5,,,109.91,,,,,35,35,
