cod,desc,price,bu,line,class,type,sat_key,unit,color
4704,Le e5 estantera 44 ect 30x30x11 cm,24.70104,Diseños de Cartón,alimentos y regalos,de línea,caja,14121500,Pieza,blanco
4705,Le e4 estantera 44 ect 30x15x20 cm,35.42292,Diseños de Cartón,alimentos y regalos,de línea,caja,14121500,Pieza,blanco
4706,Le e3 estantera 44 ect 30x15x11 cm,18.20156,Diseños de Cartón,alimentos y regalos,de línea,caja,14121500,Pieza,blanco
4707,Le e2 estantera 44 ect 30x10x11 cm,16.2487,Diseños de Cartón,alimentos y regalos,de línea,caja,14121500,Pieza,blanco
4708,Le e01 estantera 44 ect 30x5x11 cm,14.95182,Diseños de Cartón,alimentos y regalos,de línea,caja,14121500,Pieza,blanco
4709,Le e3 estantera económica 29 ect 30x15x11 cm,9.10078,Diseños de Cartón,alimentos y regalos,de línea,caja,14121500,Pieza,blanco
4710,Ordenador de cajones 44 ect 29x10x6 cm,9.10078,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4801,Cz 06 seis pares 23 ect 32x26x28,11.05364,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4802,Cz 12 doce pares 23 ect 33x27x55,18.20156,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4803,Cz 18 diesciocho pares 23 ect 48x27x55,23.39662,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4804,Cz 24 veinticuatro pares 23 ect 48x35x55,27.30234,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4805,Cz 36 treinta y seis pares 23 ect 53x48x55,38.34844,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4806,Cz 48 cuarenta y ocho pares 23 ect 54x54x65,47.125,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4807,Caja bota grande 29 ect 43x34x11,21.77552,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4808,Caja bota chica 29 ect 31x20.5x11,11.37786,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4810,Caja zapato gde micro 32x21x11,11.05364,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4811,Caja zapato chica micro 28x18x10,10.07344,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4900,Cr 98 caja reg dc 84x50x83,177.77812,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4901,Cr 90 caja reg 40 ect 90x60x50,117.97838,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4902,Cr 85 caja reg 32 ect 70x40x40,46.15234,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4902SG,Cr 85 caja reg sg 70x40x40,23.72838,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
